# mean_dt: 0.9560000000000001
# std_dt: 0.09068627239003717
# shoves_per_minute: 69.03765690376568
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;677;2.18;Dominic_Berg1;0.6999999999999997;31.6;52.6;57.63;13.75
2;815;2.88;Dominic_Berg1;1.0300000000000002;40.64;61.37;58.19;32.89
3;1022;3.91;Dominic_Berg1;0.9900000000000002;41.6;63.04;59.97;32.71
4;1221;4.9;Dominic_Berg1;1.0;39.0;61.01;60.09;26.86
5;1419;5.9;Dominic_Berg1;0.9399999999999995;37.77;59.26;58.11;34.91
6;1609;6.84;Dominic_Berg1;1.0;44.5;62.09;60.72;31.09
7;1809;7.84;Dominic_Berg1;0.9900000000000002;45.96;64.85;60.22;26.16
8;2006;8.83;Dominic_Berg1;0.9299999999999997;41.12;59.3;60.57;27.44
9;2193;9.76;Dominic_Berg1;1.0199999999999996;41.41;61.26;61.0;22.09
10;2395;10.78;Dominic_Berg1;0.9600000000000009;37.73;60.0;61.45;30.62
11;2589;11.74;Dominic_Berg1;;;;;
