# mean_dt: 1.2175
# std_dt: 0.07917543811056543
# shoves_per_minute: 55.441478439425055
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM

1;836;2.86;Dominic_Flach_1;1.08;45.36;67.59;68.84;13.14

2;1054;3.94;Dominic_Flach_1;1.1400000000000001;38.39;64.04;71.97;12.26

3;1280;5.08;Dominic_Flach_1;1.1799999999999997;40.38;65.03;77.38;11.42

4;1517;6.26;Dominic_Flach_1;1.2300000000000004;38.25;64.61;78.97;9.92

5;1763;7.49;Dominic_Flach_1;1.2400000000000002;36.69;64.42;80.94;11.16

6;2011;8.73;Dominic_Flach_1;1.2599999999999998;35.32;58.36;81.83;11.01

7;2263;9.99;Dominic_Flach_1;1.25;34.52;55.75;81.34;13.52

8;2514;11.24;Dominic_Flach_1;1.3599999999999994;27.95;48.17;81.0;10.65

9;2785;12.6;Dominic_Flach_1;;;;;

