# mean_dt: 1.058
# std_dt: 0.19528440797974628
# shoves_per_minute: 62.38185255198487
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;602;1.81;Dominic_Flach_3;0.6600000000000001;40.23;62.69;46.56;20.55
2;734;2.47;Dominic_Flach_3;0.77;39.04;61.86;54.29;19.91
3;887;3.24;Dominic_Flach_3;0.9900000000000002;38.69;63.37;65.51;17.57
4;1086;4.23;Dominic_Flach_3;1.0099999999999998;43.62;70.0;72.38;15.28
5;1289;5.24;Dominic_Flach_3;1.0599999999999996;41.52;70.74;78.53;14.33
6;1501;6.3;Dominic_Flach_3;1.1800000000000006;40.65;67.16;82.95;17.22
7;1737;7.48;Dominic_Flach_3;1.209999999999999;38.89;68.19;78.78;14.88
8;1978;8.69;Dominic_Flach_3;1.1900000000000013;38.78;66.05;79.1;8.56
9;2215;9.88;Dominic_Flach_3;1.2599999999999998;37.73;62.04;84.26;8.4
10;2468;11.14;Dominic_Flach_3;1.25;33.69;31.16;87.65;12.71
11;2718;12.39;Dominic_Flach_3;;;;;
