# mean_dt: 1.1780000000000002
# std_dt: 0.15302287410710985
# shoves_per_minute: 56.02716468590831
#
Schub-Nr.;Index;Zeit (s);Aufzeichnung;Δt zum nächsten Einschlag (s);Knee Avg ROM;Hip Avg ROM;Elbow Avg ROM;Ankle Avg ROM
1;233;35.16;Lennard_Flach_4;1.1500000000000057;52.32;45.86;80.48;19.71
2;462;36.31;Lennard_Flach_4;1.1699999999999946;51.19;50.34;74.02;23.24
3;697;37.48;Lennard_Flach_4;1.0700000000000003;57.0;67.73;61.91;11.83
4;910;38.55;Lennard_Flach_4;1.0700000000000003;57.07;65.51;74.06;13.79
5;1123;39.62;Lennard_Flach_4;1.230000000000004;64.73;81.16;65.69;17.03
6;1370;40.85;Lennard_Flach_4;1.5;63.83;70.77;88.75;21.34
7;1670;42.35;Lennard_Flach_4;0.8799999999999955;56.19;74.22;51.44;12.96
8;1846;43.23;Lennard_Flach_4;1.2900000000000063;58.11;69.99;79.03;17.61
9;2105;44.52;Lennard_Flach_4;1.1999999999999957;65.4;65.47;97.05;17.19
10;2343;45.72;Lennard_Flach_4;1.2199999999999989;74.04;71.7;81.96;22.92
11;2588;46.94;Lennard_Flach_4;;;;;
